Precision	Recall	PR_thres
0.5	1.0	0.0
0.5286250586579071	0.9698665518725785	0.001
0.5437856611262714	0.9436074042186827	0.002
0.5542355371900827	0.9238054240206629	0.003
0.561968085106383	0.9095996556177357	0.004
0.5666576160738528	0.8984072320275506	0.005
0.5702844518088925	0.8889367197589324	0.006
0.5747126436781609	0.8824795523030564	0.007
0.5799658508821856	0.8773138183383555	0.008
0.5844380403458214	0.8730090400344382	0.009
0.5868106215348702	0.8656909169177788	0.01
0.5889642962525818	0.8592337494619027	0.011
0.5910581222056632	0.8536375376668102	0.012
0.5939284640817554	0.850624192854068	0.013
0.5969650986342944	0.8467498923805424	0.014
0.5999386879215205	0.842445114076625	0.015
0.6030274945937597	0.8402927249246663	0.016
0.6056074766355141	0.8368489022815325	0.017
0.6085588420390182	0.8325441239776151	0.018
0.6109876151159098	0.8282393456736978	0.019
0.6142490372272144	0.8239345673697804	0.02
0.6173997412677878	0.8217821782178217	0.021
0.620039037085231	0.8204907447266466	0.022
0.6221349050425671	0.8179078777442962	0.023
0.6250412950115626	0.8144640551011623	0.024
0.630296963630297	0.813172621609987	0.025
0.6321104005385392	0.808437365475678	0.026
0.6348561759729272	0.8075764098148945	0.027
0.6377899045020464	0.8049935428325441	0.028
0.639958734525447	0.8011192423590185	0.029
0.6420434932688989	0.8006887645286268	0.03
0.6441973592772758	0.7981058975462764	0.031
0.646379853095488	0.7955230305639259	0.032
0.6481546572934974	0.793801119242359	0.033
0.6514346439957492	0.7916487300904004	0.034
0.6542989653942205	0.7894963409384417	0.035
0.6574406901509705	0.787343951786483	0.036
0.6578757225433526	0.7839001291433492	0.037
0.659041394335512	0.7813172621609987	0.038
0.6626461988304093	0.7804563065002152	0.039
0.6648291069459757	0.7787343951786483	0.04
0.6660509789434799	0.7761515281962978	0.041
0.6681564245810055	0.7722772277227723	0.042
0.6696629213483146	0.7696943607404219	0.043
0.6726930320150659	0.7688334050796384	0.044
0.6747536012130402	0.7662505380972879	0.045
0.6764481707317073	0.7640981489453293	0.046
0.6777522935779816	0.7632371932845459	0.047
0.6797235023041475	0.7619457597933706	0.048
0.6826439891766525	0.7602238484718037	0.049
0.6852140077821012	0.758071459319845	0.05
0.6874021909233177	0.7563495479982781	0.051
0.6897637795275591	0.7541971588463194	0.052
0.6929165017807677	0.7537666810159277	0.053
0.6938694267515924	0.7503228583727938	0.054
0.697236684020825	0.7494619027120103	0.055
0.6987515102698348	0.74687903572966	0.056
0.7020672882042968	0.7455876022384847	0.057
0.7038242473555736	0.7447266465777013	0.058
0.7064595257563369	0.7438656909169178	0.059
0.7074774034511093	0.7412828239345673	0.06
0.7097440132122214	0.7399913904433921	0.061
0.7117940199335548	0.7378390012914335	0.062
0.713094245204337	0.7361170899698666	0.063
0.7153039832285115	0.7343951786482996	0.064
0.7163927517909818	0.7318123116659492	0.065
0.7171802448290417	0.7313818338355574	0.066
0.7195587611370386	0.7300904003443822	0.067
0.7211087420042644	0.7279380111924236	0.068
0.7246563573883161	0.7262160998708567	0.069
0.7246876346402413	0.724063710718898	0.07
0.7245560848852317	0.7201894102453723	0.071
0.7265590928914086	0.7171760654326302	0.072
0.7286277948268304	0.7154541541110633	0.073
0.7319223985890653	0.7145931984502798	0.074
0.7339246119733924	0.7124408092983211	0.075
0.735202492211838	0.7111493758071459	0.076
0.7372654155495979	0.7102884201463625	0.077
0.7392280071813285	0.7089969866551873	0.078
0.7415426251691475	0.7077055531640121	0.079
0.7445454545454545	0.7051226861816616	0.08
0.7462345960748517	0.7038312526904864	0.081
0.7478220999541495	0.7021093413689194	0.082
0.7481617647058824	0.7008179078777443	0.083
0.7495378927911276	0.6982350408953939	0.084
0.7503486750348675	0.69479121825226	0.085
0.7501165501165501	0.6926388291003014	0.086
0.7524567150210576	0.6922083512699096	0.087
0.7544769085768144	0.6891950064571675	0.088
0.7561436672967864	0.6887645286267757	0.089
0.7590132827324478	0.6887645286267757	0.09
0.7608384945212006	0.6874730951356005	0.091
0.7613582018173123	0.6853207059836418	0.092
0.7634357005758158	0.6848902281532501	0.093
0.7661835748792271	0.6827378390012915	0.094
0.7673627974745022	0.680154972018941	0.095
0.7675097276264592	0.6792940163581576	0.096
0.7689301416707377	0.6775721050365906	0.097
0.7708537782139352	0.6762806715454154	0.098
0.7729064039408867	0.6754197158846319	0.099
0.7749752720079129	0.6745587602238484	0.1
0.7765640516385303	0.6732673267326733	0.101
0.7787742899850523	0.6728368489022816	0.102
0.7805	0.6719758932414981	0.103
0.7826305220883534	0.6711149375807146	0.104
0.783987915407855	0.6702539819199311	0.105
0.7848484848484848	0.6689625484287559	0.106
0.7868020304568528	0.667240637107189	0.107
0.7887755102040817	0.665518725785622	0.108
0.7898513582778063	0.6633663366336634	0.109
0.7902061855670103	0.6599225139905295	0.11
0.7919254658385093	0.6586310804993543	0.111
0.7924234561494551	0.657339647008179	0.112
0.7942708333333334	0.6564786913473956	0.113
0.7945635128071092	0.654326302195437	0.114
0.7960146827477713	0.6534653465346535	0.115
0.796422935297212	0.6517434352130865	0.116
0.7987321711568938	0.650882479552303	0.117
0.7991520932697403	0.6491605682307361	0.118
0.800531914893617	0.6478691347395609	0.119
0.8023504273504274	0.6465777012483858	0.12
0.80343716433942	0.6439948342660353	0.121
0.8048648648648649	0.6409814894532931	0.122
0.8082563824008691	0.6405510116229014	0.123
0.8107960741548528	0.6401205337925097	0.124
0.8110322228290552	0.6392595781317262	0.125
0.8134942402633023	0.6383986224709427	0.126
0.8149171270718232	0.6349547998278089	0.127
