Model	TPR	FPR	Precision	Recall	Accuracy	F1-score	ratio_threshod
HEK293T	0.4533169533169533	0.05036855036855037	0.9	0.4533169533169533	0.7014742014742015	0.6029411764705882	0.125
HEK293T;H1-PE	0.5356265356265356	0.04914004914004914	0.9159663865546218	0.5356265356265356	0.7432432432432432	0.6759689922480621	0.151
HEK293T;H9-hESC	0.6056511056511057	0.04914004914004914	0.924953095684803	0.6056511056511057	0.7782555282555282	0.7319970304380103	0.155
HEK293T;H1-PE;H1-DE	0.6154791154791155	0.05036855036855037	0.9243542435424354	0.6154791154791155	0.7825552825552825	0.7389380530973452	0.184
HEK293T;H1-PE;H1-DE;H9-hESC	0.6621621621621622	0.05036855036855037	0.9293103448275862	0.6621621621621622	0.8058968058968059	0.7733142037302727	0.146
all	0.6707616707616708	0.05036855036855037	0.9301533219761499	0.6707616707616708	0.8101965601965602	0.7794432548179872	0.094
