Precision	Recall	PR_thres
0.5	1.0	0.0
0.5371039761854136	0.9655963302752294	0.001
0.5611428571428572	0.9384556574923547	0.002
0.5715299125088673	0.9239296636085627	0.003
0.5804263565891473	0.9159021406727829	0.004
0.5892724112242365	0.9071100917431193	0.005
0.5972081218274111	0.8994648318042814	0.006
0.6052699560836993	0.8956422018348624	0.007
0.6089458540413288	0.8899082568807339	0.008
0.6132275132275132	0.886085626911315	0.009
0.6180016072863649	0.8818807339449541	0.01
0.6218487394957983	0.8769113149847095	0.011
0.6249657815494114	0.8727064220183486	0.012
0.6286978158695051	0.8692660550458715	0.013
0.6315202231520223	0.8654434250764526	0.014
0.6356457980823463	0.8616207951070336	0.015
0.6393629124004551	0.8593272171253823	0.016
0.6429595640952108	0.8570336391437309	0.017
0.6474507531865585	0.8543577981651376	0.018
0.6507890122735243	0.8512996941896025	0.019
0.6538121872240212	0.8490061162079511	0.02
0.6567430782971122	0.8432721712538226	0.021
0.6614598978672274	0.841743119266055	0.022
0.6648484848484848	0.8386850152905199	0.023
0.6670735428745804	0.8356269113149847	0.024
0.6696373693915181	0.8329510703363915	0.025
0.6727554179566564	0.8306574923547401	0.026
0.6755153029356652	0.8268348623853211	0.027
0.6775818639798489	0.8226299694189603	0.028
0.6811686249603048	0.819954128440367	0.029
0.6850015989766549	0.8188073394495413	0.03
0.6865767501605652	0.8172782874617737	0.031
0.6890756302521008	0.8149847094801224	0.032
0.6911573472041612	0.8126911314984709	0.033
0.6940714051752375	0.8100152905198776	0.034
0.6960526315789474	0.808868501529052	0.035
0.6987115956392468	0.8084862385321101	0.036
0.7013634852011972	0.8061926605504587	0.037
0.7037906742703791	0.8019877675840978	0.038
0.7053270397842212	0.7996941896024465	0.039
0.7053843548933288	0.7962538226299695	0.04
0.707425068119891	0.793960244648318	0.041
0.709832134292566	0.7920489296636085	0.042
0.715916955017301	0.7909021406727829	0.043
0.7188153310104529	0.7886085626911316	0.044
0.7207428170988087	0.7863149847094801	0.045
0.7218706047819972	0.7847859327217125	0.046
0.7260176991150442	0.7840214067278287	0.047
0.7271758436944937	0.7824923547400612	0.048
0.7275641025641025	0.7809633027522935	0.049
0.7299713876967096	0.7801987767584098	0.05
0.7327338129496402	0.7786697247706422	0.051
0.734996384671005	0.7771406727828746	0.052
0.7356780275562002	0.775611620795107	0.053
0.7365356622998545	0.7737003058103975	0.054
0.739114526161727	0.77217125382263	0.055
0.7416144489495023	0.7691131498470948	0.056
0.7441601779755284	0.7672018348623854	0.057
0.7451636904761905	0.7656727828746177	0.058
0.7471910112359551	0.7626146788990825	0.059
0.7501883948756594	0.761085626911315	0.06
0.752745172283226	0.7599388379204893	0.061
0.756468797564688	0.7599388379204893	0.062
0.7599540581929556	0.7587920489296636	0.063
0.7618680046314165	0.7545871559633027	0.064
0.7640667442762903	0.7526758409785933	0.065
0.7651869158878505	0.7511467889908257	0.066
0.7659241891363814	0.7492354740061162	0.067
0.7668495297805643	0.7480886850152905	0.068
0.7681102362204725	0.7457951070336392	0.069
0.7695652173913043	0.7442660550458715	0.07
0.7709408495434696	0.7423547400611621	0.071
0.7744902039184326	0.7404434250764526	0.072
0.7763052208835342	0.738914373088685	0.073
0.7780016116035455	0.7381498470948012	0.074
0.7795307443365695	0.7366207951070336	0.075
0.7804383116883117	0.7350917431192661	0.076
0.7815810920945395	0.7331804281345565	0.077
0.7833197056418643	0.7324159021406728	0.078
0.7849815346737793	0.7312691131498471	0.079
0.7859201317414574	0.7297400611620795	0.08
0.786952931461602	0.7285932721712538	0.081
0.7882304185661003	0.7270642201834863	0.082
0.790765391014975	0.7266819571865444	0.083
0.7926421404682275	0.7247706422018348	0.084
0.7932914046121593	0.7232415902140673	0.085
0.794278502313841	0.7217125382262997	0.086
0.7943531394858828	0.720565749235474	0.087
0.79482831708351	0.716743119266055	0.088
0.7957446808510639	0.7148318042813455	0.089
0.7962328767123288	0.7110091743119266	0.09
0.7977672820953199	0.7102446483180428	0.091
0.7987068965517241	0.7083333333333334	0.092
0.8008658008658008	0.7071865443425076	0.093
0.8037423846823325	0.706039755351682	0.094
0.8050699300699301	0.7041284403669725	0.095
0.8066637439719422	0.7033639143730887	0.096
0.8085387323943662	0.702217125382263	0.097
0.8096502877379371	0.6991590214067278	0.098
0.812361049355269	0.698394495412844	0.099
0.8142027690933452	0.6968654434250765	0.1
0.8151637505607896	0.6945718654434251	0.101
0.8171171171171171	0.6934250764525994	0.102
0.8178942611839133	0.6918960244648318	0.103
0.8198729582577132	0.6907492354740061	0.104
0.821917808219178	0.6880733944954128	0.105
0.822883295194508	0.6873088685015291	0.106
0.8247470101195952	0.6853975535168195	0.107
0.8261070110701108	0.6846330275229358	0.108
0.826308476146364	0.6819571865443425	0.109
0.827972027972028	0.6788990825688074	0.11
0.8281835205992509	0.6762232415902141	0.111
0.8294974166275246	0.6750764525993884	0.112
0.8315191670610507	0.6716360856269113	0.113
0.8326220957799905	0.6712538226299695	0.114
0.8344433872502379	0.6704892966360856	0.115
0.836676217765043	0.6697247706422018	0.116
0.8370086289549377	0.6674311926605505	0.117
0.8380722891566265	0.6647553516819572	0.118
0.8389748549323017	0.6632262996941896	0.119
0.8390693165293263	0.661697247706422	0.12
0.8401360544217688	0.6609327217125383	0.121
0.8425427872860636	0.6586391437308868	0.122
0.8442260442260442	0.6567278287461774	0.123
0.8460779477059694	0.6555810397553516	0.124
0.8475247524752475	0.654434250764526	0.125
0.8484848484848485	0.6529051987767585	0.126
0.8495752123938031	0.6498470948012233	0.127
