FPR	TPR	ROC_thres
0.0	0.0	inf
0.0	0.0008609556607834697	0.999
0.0	0.002152389151958674	0.998
0.0	0.0038743004735256135	0.996
0.0	0.004304778303917348	0.993
0.0	0.005165733964700818	0.991
0.0	0.009470512268618166	0.978
0.0	0.010331467929401636	0.977
0.0	0.01076194575979337	0.97
0.0	0.01162290142057684	0.965
0.0	0.015497201894102454	0.946
0.0	0.016788635385277657	0.945
0.0	0.017649591046061126	0.944
0.0	0.019371502367628066	0.936
0.0	0.020232458028411535	0.934
0.0	0.02324580284115368	0.922
0.0	0.02410675850193715	0.921
0.0	0.02582866982350409	0.915
0.0	0.02927249246663797	0.906
0.0	0.03056392595781317	0.901
0.0	0.030994403788204908	0.899
0.0	0.031855359448988374	0.898
0.0	0.03486870426173052	0.885
0.0	0.03572965992251399	0.884
0.0	0.036160137752905726	0.882
0.0	0.03702109341368919	0.881
0.0	0.03745157124408093	0.876
0.0	0.0383125269048644	0.871
0.0	0.03874300473525613	0.868
0.0	0.039603960396039604	0.867
0.0	0.04089539388721481	0.866
0.0	0.041325871717606544	0.863
0.0	0.045200172191132156	0.858
0.0	0.04606112785191563	0.856
0.0	0.04778303917348257	0.85
0.0	0.0482135170038743	0.848
0.0	0.04907447266465777	0.847
0.0	0.05079638398622471	0.841
0.0	0.052518295307791646	0.84
0.0	0.05337925096857512	0.839
0.0	0.05380972879896685	0.838
0.0	0.057684029272492464	0.832
0.0	0.05897546276366767	0.827
0.0	0.05983641842445114	0.826
0.0	0.06155832974601808	0.825
0.0	0.061988807576409816	0.824
0.0	0.06328024106758502	0.823
0.0	0.06500215238915195	0.821
0.0	0.0654326302195437	0.82
0.0	0.06629358588032716	0.817
0.0	0.0667240637107189	0.816
0.0	0.06758501937150237	0.815
0.0	0.07016788635385278	0.812
0.0	0.07102884201463625	0.811
0.0	0.07232027550581145	0.81
0.0	0.07404218682737838	0.8
0.0	0.07533362031855359	0.799
0.0	0.07619457597933707	0.798
0.0	0.07834696513129574	0.797
0.0	0.08092983211364614	0.788
0.0	0.08351269909599655	0.784
0.0	0.0839431769263883	0.783
0.0	0.0865260439087387	0.78
0.0	0.08738699956952217	0.778
0.0	0.08824795523030564	0.777
0.0	0.0891089108910891	0.774
0.0	0.08996986655187258	0.773
0.0	0.09040034438226431	0.772
0.0	0.09169177787343952	0.769
0.0	0.09255273353422298	0.766
0.0	0.09298321136461472	0.765
0.0	0.09384416702539819	0.764
0.0	0.09427464485578993	0.763
0.0	0.0951356005165734	0.762
0.0	0.09556607834696514	0.76
0.0	0.09685751183814034	0.759
0.0	0.09728798966853207	0.758
0.0	0.09814894532931553	0.757
0.0	0.09944037882049074	0.756
0.0	0.10030133448127422	0.755
0.0	0.10116229014205769	0.753
0.0	0.1024537236332329	0.752
0.0	0.10288420146362462	0.751
0.0	0.1037451571244081	0.75
0.0	0.10503659061558329	0.749
0.0	0.10589754627636677	0.746
0.0	0.10675850193715024	0.744
0.0	0.1076194575979337	0.739
0.0	0.10891089108910891	0.738
0.0	0.10934136891950065	0.737
0.0	0.11106328024106758	0.735
0.0	0.11149375807145932	0.734
0.0	0.11235471373224279	0.733
0.0	0.11278519156263453	0.731
0.0	0.113646147223418	0.73
0.0	0.11407662505380974	0.729
0.0	0.11665949203616013	0.726
0.0	0.11708996986655187	0.725
0.0	0.11795092552733534	0.724
0.0	0.1188118811881188	0.718
0.0	0.12139474817046922	0.716
0.0	0.12311665949203617	0.715
0.0	0.12440809298321137	0.706
0.0	0.12656048213517004	0.705
0.0	0.12828239345673698	0.704
0.0	0.12914334911752046	0.7
0.0	0.1300043047783039	0.699
0.0	0.13129573826947913	0.698
0.0	0.13387860525182954	0.693
0.0	0.1360309944037882	0.692
0.0	0.13689195006457167	0.69
0.0	0.13947481704692208	0.688
0.0	0.1407662505380973	0.685
0.0	0.14162720619888075	0.684
0.0	0.14334911752044768	0.683
0.0	0.14377959535083942	0.682
0.0	0.1446405510116229	0.68
0.0	0.14507102884201464	0.679
0.0	0.1459319845027981	0.678
0.0	0.14679294016358158	0.675
0.0	0.1485148514851485	0.674
0.0	0.149375807145932	0.672
0.0	0.1519586741282824	0.669
0.0	0.15368058544984933	0.668
0.0	0.15411106328024107	0.667
0.0	0.15497201894102453	0.665
0.0	0.15540249677141627	0.664
0.0	0.15626345243219975	0.663
0.0	0.15798536375376668	0.659
0.0	0.15884631941455016	0.655
0.0	0.1592767972449419	0.654
0.0	0.16013775290572535	0.653
0.0	0.1605682307361171	0.652
0.0	0.16142918639690057	0.651
0.0	0.16272061988807576	0.649
0.0	0.1631510977184675	0.648
0.0	0.1644425312096427	0.647
0.0	0.16573396470081792	0.643
0.0	0.1670253981919931	0.642
0.0	0.16745587602238485	0.64
0.0	0.16831683168316833	0.639
0.0	0.16874730951356004	0.638
0.0	0.17133017649591045	0.637
0.00043047783039173483	0.17219113215669393	0.636
0.00043047783039173483	0.1730520878174774	0.635
0.00043047783039173483	0.17391304347826086	0.631
0.00043047783039173483	0.1756349547998278	0.629
0.00043047783039173483	0.17735686612139476	0.628
0.00043047783039173483	0.1782178217821782	0.627
0.00043047783039173483	0.17993973310374517	0.62
0.00043047783039173483	0.18080068876452862	0.619
0.00043047783039173483	0.18252260008609555	0.614
0.00043047783039173483	0.18424451140766251	0.612
0.00043047783039173483	0.18467498923805423	0.61
0.00043047783039173483	0.18725785622040464	0.607
0.00043047783039173483	0.18768833405079638	0.606
0.00043047783039173483	0.1889797675419716	0.605
0.00043047783039173483	0.18984072320275505	0.604
0.00043047783039173483	0.1902712010331468	0.603
0.00043047783039173483	0.1928540680154972	0.6
0.00043047783039173483	0.19586741282823936	0.599
0.00043047783039173483	0.1975893241498063	0.596
0.00043047783039173483	0.19888075764098148	0.595
0.0008609556607834697	0.20060266896254844	0.594
0.0008609556607834697	0.20189410245372363	0.593
0.0008609556607834697	0.20361601377529057	0.592
0.0008609556607834697	0.20576840292724924	0.59
0.0008609556607834697	0.20662935858803272	0.589
0.0008609556607834697	0.20705983641842446	0.588
0.0008609556607834697	0.2079207920792079	0.587
0.0008609556607834697	0.20964270340077487	0.582
0.0008609556607834697	0.21093413689195006	0.581
0.0008609556607834697	0.21222557038312526	0.577
0.0008609556607834697	0.21480843736547567	0.574
0.0008609556607834697	0.2152389151958674	0.573
0.0012914334911752045	0.2160998708566509	0.572
0.0012914334911752045	0.21825226000860956	0.57
0.0012914334911752045	0.2199741713301765	0.566
0.0012914334911752045	0.22083512699095997	0.565
0.0012914334911752045	0.22298751614291865	0.564
0.0012914334911752045	0.2264313387860525	0.56
0.0012914334911752045	0.22815325010761947	0.559
0.0012914334911752045	0.22858372793801118	0.557
0.0012914334911752045	0.22944468359879466	0.556
0.0012914334911752045	0.2298751614291864	0.554
0.0012914334911752045	0.2311665949203616	0.553
0.0012914334911752045	0.23202755058114508	0.55
0.0012914334911752045	0.23288850624192853	0.548
0.0012914334911752045	0.23331898407232027	0.547
0.0012914334911752045	0.23504089539388723	0.545
0.0012914334911752045	0.23590185105467068	0.543
0.0017219113215669393	0.2376237623762376	0.541
0.0017219113215669393	0.23805424020662935	0.54
0.002152389151958674	0.23891519586741283	0.539
0.002152389151958674	0.24063710718897977	0.538
0.002152389151958674	0.2410675850193715	0.537
0.002152389151958674	0.24278949634093844	0.535
0.002152389151958674	0.24321997417133018	0.534
0.002152389151958674	0.2458028411536806	0.531
0.002152389151958674	0.24623331898407233	0.528
0.002152389151958674	0.24881618596642274	0.525
0.002152389151958674	0.2496771416272062	0.524
0.002152389151958674	0.2509685751183814	0.521
0.002152389151958674	0.25182953077916487	0.517
0.002152389151958674	0.2544123977615153	0.516
0.002152389151958674	0.25527335342229873	0.515
0.002152389151958674	0.25570383125269047	0.513
0.002152389151958674	0.2569952647438657	0.511
0.002152389151958674	0.25742574257425743	0.51
0.002152389151958674	0.2582866982350409	0.509
0.002152389151958674	0.2600086095566078	0.503
0.002582866982350409	0.2617305208781748	0.5
0.002582866982350409	0.26302195436935	0.499
0.003013344812742144	0.2638829100301334	0.498
0.003013344812742144	0.26517434352130864	0.494
0.003013344812742144	0.26646577701248386	0.493
0.003013344812742144	0.2668962548428756	0.49
0.003013344812742144	0.2677572105036591	0.489
0.003013344812742144	0.2681876883340508	0.487
0.003013344812742144	0.26904864399483425	0.486
0.003013344812742144	0.2699095996556177	0.483
0.003013344812742144	0.2707705553164012	0.482
0.003013344812742144	0.27120103314679295	0.481
0.003013344812742144	0.27249246663796817	0.48
0.003013344812742144	0.2729229444683599	0.479
0.003013344812742144	0.2767972449418855	0.475
0.003013344812742144	0.2785191562634524	0.472
0.003013344812742144	0.27981058975462764	0.471
0.003013344812742144	0.2806715454154111	0.469
0.003013344812742144	0.282393456736978	0.468
0.003013344812742144	0.284115368058545	0.466
0.003013344812742144	0.2845458458889367	0.464
0.003013344812742144	0.2854068015497202	0.463
0.003013344812742144	0.28669823504089537	0.462
0.003013344812742144	0.28755919070167885	0.461
0.003013344812742144	0.2879896685320706	0.46
0.003013344812742144	0.28885062419285407	0.459
0.003013344812742144	0.2892811020232458	0.458
0.003013344812742144	0.2901420576840293	0.457
0.0034438226431338786	0.290572535514421	0.456
0.0034438226431338786	0.29143349117520445	0.454
0.0034438226431338786	0.2918639690055962	0.453
0.0034438226431338786	0.29272492466637967	0.452
0.0034438226431338786	0.29444683598794663	0.447
0.0034438226431338786	0.2953077916487301	0.446
0.0034438226431338786	0.29573826947912185	0.445
0.0034438226431338786	0.29832113646147224	0.443
0.0038743004735256135	0.29832113646147224	0.442
0.004304778303917348	0.3000430477830392	0.441
0.004304778303917348	0.3017649591046061	0.44
0.004304778303917348	0.3030563925957813	0.439
0.004735256134309083	0.3030563925957813	0.438
0.004735256134309083	0.3039173482565648	0.437
0.004735256134309083	0.3065002152389152	0.435
0.004735256134309083	0.3069306930693069	0.434
0.004735256134309083	0.30822212656048215	0.433
0.004735256134309083	0.3090830822212656	0.431
0.004735256134309083	0.30951356005165737	0.43
0.004735256134309083	0.31080499354283253	0.429
0.004735256134309083	0.31338786052518297	0.425
0.004735256134309083	0.31467929401635814	0.42
0.005165733964700818	0.3155402496771416	0.419
0.005165733964700818	0.31597072750753336	0.418
0.005165733964700818	0.31683168316831684	0.416
0.005165733964700818	0.3172621609987086	0.414
0.005596211795092553	0.3172621609987086	0.413
0.005596211795092553	0.31812311665949206	0.412
0.005596211795092553	0.3185535944898838	0.411
0.005596211795092553	0.3194145501506672	0.409
0.005596211795092553	0.3202755058114507	0.407
0.005596211795092553	0.3215669393026259	0.406
0.0064571674558760225	0.3232888506241929	0.404
0.0064571674558760225	0.32371932845458457	0.402
0.0064571674558760225	0.32458028411536805	0.4
0.006887645286267757	0.3250107619457598	0.399
0.006887645286267757	0.3275936289281102	0.397
0.006887645286267757	0.3280241067585019	0.395
0.006887645286267757	0.32931554024967713	0.394
0.006887645286267757	0.3310374515712441	0.392
0.006887645286267757	0.33189840723202757	0.391
0.007318123116659492	0.33448127421437795	0.39
0.007318123116659492	0.33534222987516143	0.388
0.007318123116659492	0.3379250968575118	0.386
0.007318123116659492	0.3387860525182953	0.385
0.007748600947051227	0.3387860525182953	0.384
0.007748600947051227	0.34050796383986226	0.383
0.007748600947051227	0.340938441670254	0.382
0.007748600947051227	0.3435213086526044	0.38
0.007748600947051227	0.34438226431338786	0.379
0.008179078777442962	0.3456736978045631	0.377
0.008179078777442962	0.3465346534653465	0.376
0.008609556607834697	0.34696513129573825	0.375
0.008609556607834697	0.34782608695652173	0.374
0.008609556607834697	0.35040895393887217	0.373
0.008609556607834697	0.3521308652604391	0.371
0.009040034438226431	0.35385277658200603	0.37
0.009040034438226431	0.35557468790357294	0.369
0.009470512268618166	0.3564356435643564	0.368
0.009470512268618166	0.3572965992251399	0.366
0.01076194575979337	0.3572965992251399	0.365
0.01162290142057684	0.35901851054670686	0.363
0.01162290142057684	0.360309944037882	0.362
0.012053379250968575	0.360309944037882	0.361
0.012053379250968575	0.36160137752905724	0.36
0.012053379250968575	0.3624623331898407	0.358
0.012053379250968575	0.36289281102023246	0.357
0.012053379250968575	0.3650452001721911	0.356
0.01248385708136031	0.36547567800258285	0.355
0.01334481274214378	0.3671975893241498	0.353
0.01334481274214378	0.3680585449849333	0.352
0.01420576840292725	0.36891950064571677	0.35
0.014636246233318984	0.36934997847610845	0.349
0.014636246233318984	0.3710718897976754	0.348
0.014636246233318984	0.37150236762806715	0.347
0.014636246233318984	0.37236332328885063	0.346
0.014636246233318984	0.3727938011192424	0.345
0.014636246233318984	0.37408523461041754	0.344
0.014636246233318984	0.374946190271201	0.343
0.014636246233318984	0.376668101592768	0.342
0.014636246233318984	0.3770985794231597	0.341
0.014636246233318984	0.3779595350839432	0.34
0.015066724063710719	0.3788204907447266	0.339
